,min1,min2,min3,min123,max1,max2,max3,max123,mean1,mean2,mean3,mean123,std1,std2,std3,std123,sad1,sad2,sad3,sad123,corl1,corl2,corl3,corl123,onoff1,onoff2,onoff3,onoff123,range1,range2,range3,range123,ptime,pfixed,pprob
2012-06-02 11:00:00,205.175,124.073,80.28,410.35,1089.41,1007.86,81.855,2178.828,260.100414444,178.873095556,81.2273277778,520.200837778,51.6010679487,51.5835636046,0.212884674544,103.202278915,3313.891,3291.31,194.239,6627.798,0.731181319153,0.731149411427,0.141268727976,0.731180880569,9.0,9.0,0.0,16.0,884.235,883.787,1.575,1768.478,21,1,1.0
2012-06-02 11:15:00,37.95,16.525,20.955,75.9,688.148,666.417,81.766,1376.296,104.439254444,72.8002777778,31.6389766667,208.878508889,60.7399482207,47.3558834217,22.1506129884,121.479896441,2404.655,2290.62,230.375,4809.31,0.914095076344,0.859224498426,0.998452787586,0.914095076344,16.0,15.0,1.0,21.0,650.198,649.892,60.811,1300.396,22,1,0.854444444444
2012-06-02 11:30:00,89.173,67.75,21.091,178.346,107.861,86.435,22.004,215.722,91.9905633333,70.45399,21.5365733333,183.981126667,5.3750322934,5.37326436544,0.156274280997,10.7500645868,237.097,158.165,163.036,474.194,0.995869371942,0.996837320435,-0.0524022085194,0.995869371942,0.0,0.0,0.0,0.0,18.688,18.685,0.913,37.376,23,1,0.0
2012-06-02 11:45:00,37.156,15.868,21.001,74.312,860.467,838.769,21.985,1720.934,74.3944444444,52.86585,21.5285944444,148.788888889,60.4696923244,60.4671350251,0.153520905709,120.939384649,2900.175,2827.184,161.257,5800.35,0.782784652852,0.782883580652,-0.0727068152431,0.782784652852,7.0,7.0,0.0,9.0,823.311,822.901,0.984,1646.622,24,1,0.0
2012-06-02 12:00:00,88.995,67.732,20.903,177.99,173.806,152.362,22.084,347.612,128.643151111,107.125292222,21.5178588889,257.286302222,37.0672409267,37.0654942218,0.172013764999,74.1344818533,304.538,229.319,167.789,609.076,0.998150404356,0.998188730814,0.0675793093534,0.998150404356,1.0,1.0,0.0,1.0,84.811,84.63,1.181,169.622,25,1,0.0
2012-06-02 12:15:00,37.159,15.863,20.898,74.318,90.1,68.463,22.121,180.2,50.8950155556,29.3669677778,21.5280477778,101.790031111,22.4667290782,22.4695969744,0.166875103815,44.9334581564,274.279,201.51,166.849,548.558,0.998177116698,0.998227627589,0.0424174395978,0.998177116698,1.0,1.0,0.0,2.0,52.941,52.6,1.223,105.882,26,1,0.0
2012-06-02 12:30:00,37.196,15.96,20.912,74.392,876.542,854.684,22.018,1753.084,85.9399622222,64.41602,21.5239422222,171.879924444,54.6210797034,54.6069399374,0.166614736797,109.242159407,2998.558,2933.225,169.455,5997.116,0.671073240538,0.671018971565,0.021533543344,0.671073240538,6.0,6.0,0.0,6.0,839.346,838.724,1.106,1678.692,27,1,0.0
2012-06-02 12:45:00,37.328,15.932,21.082,74.656,173.384,151.839,22.07,346.768,128.919672222,107.356402222,21.56327,257.839344444,39.2283272913,39.2339010146,0.161751252297,78.4566545826,361.491,301.523,164.544,722.982,0.998487552196,0.998496091623,-0.0103577016687,0.998487552196,3.0,3.0,0.0,4.0,136.056,135.907,0.988,272.112,28,1,0.0
2012-06-02 13:00:00,37.299,15.914,20.823,74.598,909.765,888.133,22.136,1819.53,74.0517577778,52.5202744444,21.5314833333,148.103515556,47.4282741882,47.4404507872,0.174440260881,94.8565483765,1906.029,1836.307,164.006,3812.058,0.66439825483,0.664573741896,0.138207101384,0.66439825483,3.0,3.0,0.0,3.0,872.466,872.219,1.313,1744.932,29,1,0.0
2012-06-02 13:15:00,37.221,15.895,21.063,74.442,90.456,68.871,22.037,180.912,70.2569633333,48.6984266667,21.5585366667,140.513926667,25.0715300952,25.0771130164,0.161385429078,50.1430601905,267.299,202.694,162.341,534.598,0.997764775608,0.99779332912,0.0325495595092,0.997764775608,1.0,1.0,0.0,1.0,53.235,52.976,0.974,106.47,30,1,0.0
2012-06-02 13:30:00,37.168,15.914,21.049,74.336,745.6,724.005,22.107,1491.2,109.675468889,88.1206177778,21.5548511111,219.350937778,73.3284006215,73.3387030687,0.165077633838,146.656801243,2721.225,2656.767,171.586,5442.45,0.870817372732,0.870829790419,-0.0720150707252,0.870817372732,6.0,6.0,0.0,6.0,708.432,708.091,1.058,1416.864,31,1,0.0
2012-06-02 13:45:00,37.412,16.034,21.068,74.824,163.171,141.546,22.079,326.342,106.63727,85.0652444444,21.5720255556,213.27454,41.4525225004,41.458861804,0.161579200567,82.9050450008,343.083,274.208,164.505,686.166,0.998325537427,0.998347642185,-0.00871365852877,0.998325537427,2.0,2.0,0.0,4.0,125.759,125.512,1.011,251.518,32,1,0.0
2012-06-02 14:00:00,37.325,15.914,21.025,74.65,498.306,476.669,22.084,996.612,50.6833755556,29.1190655556,21.56431,101.366751111,30.5979038071,30.6080463406,0.164291482843,61.1958076142,1078.631,1011.357,158.45,2157.262,0.848043455482,0.848143417936,0.0955792849447,0.848043455482,3.0,3.0,0.0,3.0,460.981,460.755,1.059,921.962,33,1,0.0
2012-06-02 14:15:00,88.917,67.524,20.969,177.834,637.652,616.001,22.07,1275.304,106.849934444,85.3039122222,21.5460222222,213.699868889,39.9927085694,39.9831252518,0.165626701282,79.9854171387,1301.835,1242.704,163.335,2603.67,0.868360810216,0.868324900908,0.0576136666129,0.868360810216,5.0,5.0,0.0,6.0,548.735,548.477,1.101,1097.47,34,1,0.0
2012-06-02 14:30:00,37.232,15.932,20.936,74.464,957.199,935.435,22.15,1914.398,95.0394411111,73.4773133333,21.5621277778,190.078882222,51.0139352256,51.0034505603,0.161404577049,102.027870451,2061.798,2003.644,161.37,4123.596,0.674200863018,0.674279214916,0.0288473579485,0.674200863018,3.0,3.0,0.0,4.0,919.967,919.503,1.214,1839.934,35,1,0.0
2012-06-02 14:45:00,89.075,67.667,20.978,178.15,97.994,76.357,22.154,195.988,90.7312033333,69.1663966667,21.5648066667,181.462406667,1.53369949176,1.52411916953,0.159985957254,3.06739898352,224.04,154.221,161.651,448.08,0.979452575934,0.990184771858,0.0100919474447,0.979452575934,0.0,0.0,0.0,0.0,8.919,8.69,1.176,17.838,36,1,0.0
2012-06-02 15:00:00,37.344,15.886,21.082,74.688,90.276,68.551,22.06,180.552,49.7410333333,28.1637333333,21.5773,99.4820666667,21.6815968029,21.6841502389,0.157279234193,43.3631936059,266.396,192.774,165.43,532.792,0.997863473003,0.997906197225,-0.0676377497294,0.997863473003,1.0,1.0,0.0,2.0,52.932,52.665,0.978,105.864,37,1,0.0
2012-06-02 15:15:00,37.298,16.048,21.035,74.596,987.578,965.753,22.07,1975.156,146.416434444,124.848217778,21.5682166667,292.832868889,64.8170846743,64.7892013938,0.177959490804,129.634169349,3052.459,2986.911,168.112,6104.918,0.758174196559,0.758141508153,0.17756065879,0.758174196559,6.0,6.0,0.0,7.0,950.28,949.705,1.035,1900.56,38,1,0.0
2012-06-02 15:30:00,37.369,15.859,21.152,74.738,161.26,139.477,22.117,322.52,66.3862377778,44.7704222222,21.6158155556,132.772475556,39.5384794216,39.5442944673,0.151589426252,79.0769588432,338.962,266.852,154.99,677.924,0.998356283353,0.998388455538,-0.0392978589099,0.998356283353,2.0,2.0,0.0,4.0,123.891,123.618,0.965,247.782,39,1,0.0
2012-06-02 15:45:00,37.328,15.97,21.025,74.656,481.34,459.854,22.277,962.68,74.6475755556,53.0296966667,21.6178788889,149.295151111,32.0804474407,32.0655754399,0.168867950329,64.1608948814,1059.85,971.445,171.953,2119.7,0.868186172209,0.868239731389,-0.00822795503633,0.868186172209,3.0,3.0,0.0,3.0,444.012,443.884,1.252,888.024,40,1,0.0
2012-06-02 16:00:00,89.052,67.542,20.997,178.104,604.445,582.902,22.023,1208.89,104.730706667,83.1554033333,21.5753033333,209.461413333,33.9740208363,33.98116774,0.157049995193,67.9480416727,1237.946,1164.938,164.15,2475.892,0.812610644018,0.812535884033,-0.0426424456537,0.812610644018,5.0,5.0,0.0,6.0,515.393,515.36,1.026,1030.786,41,1,0.0
2012-06-02 16:15:00,37.515,16.081,21.082,75.03,670.294,648.356,22.112,1340.588,98.5034011111,76.9110244444,21.5923766667,197.006802222,33.4502460582,33.4475403466,0.155671837998,66.9004921164,1487.923,1418.634,163.949,2975.846,0.698121532819,0.69858590167,-0.0656614972978,0.698121532819,4.0,4.0,0.0,5.0,632.779,632.275,1.03,1265.558,42,1,0.0
2012-06-02 16:30:00,37.408,15.993,20.945,74.816,90.842,69.274,22.046,181.684,82.5445455556,60.9915788889,21.5529666667,165.089091111,17.9812085121,17.9921941896,0.167734240112,35.9624170241,265.267,192.181,161.452,530.534,0.997131737803,0.997201117432,0.0946776790391,0.997131737803,1.0,1.0,0.0,2.0,53.434,53.281,1.101,106.868,43,1,0.0
2012-06-02 16:45:00,37.368,15.946,21.096,74.736,1080.44,1058.46,22.046,2160.875,53.8748944444,32.28481,21.5900777778,107.749782222,69.8361198408,69.8163239615,0.16429741391,139.672141579,3919.342,3842.687,173.471,7838.674,0.623822560137,0.623860888344,-0.0758946468621,0.623822693403,5.0,5.0,0.0,6.0,1043.072,1042.514,0.95,2086.139,44,1,0.0
2012-06-02 17:00:00,88.851,67.454,21.006,177.702,178.089,156.325,22.126,356.178,158.096384444,136.56967,21.5267144444,316.192768889,21.4199512999,21.4022533271,0.16897153933,42.8399025998,331.439,272.125,169.104,662.878,0.996376692414,0.996443037862,0.0278520774757,0.996376692414,2.0,2.0,0.0,2.0,89.238,88.871,1.12,178.476,45,1,0.101111111111
2012-06-02 17:15:00,36.712,15.442,21.133,73.424,235.243,213.663,22.004,470.486,50.6040711111,29.0865766667,21.5174944444,101.208142222,22.6270569749,22.6327078348,0.156603873037,45.2541139499,741.14,679.618,159.584,1482.28,0.934603198227,0.934653884483,-0.00195778523759,0.934603198227,4.0,4.0,0.0,8.0,198.531,198.221,0.871,397.062,46,0,0.213333333333
2012-06-02 17:30:00,37.124,15.664,20.945,74.248,845.429,823.802,22.032,1690.858,91.7875833333,70.2600488889,21.5275344444,183.575166667,41.3598301995,41.3491521528,0.156162916314,82.719660399,2348.929,2277.042,158.729,4697.858,0.439675290729,0.439688942618,-0.00906406918932,0.439675290729,4.0,4.0,0.0,4.0,808.305,808.138,1.087,1616.61,47,0,0.0
2012-06-02 17:45:00,36.867,15.395,21.03,73.734,845.66,823.802,22.07,1691.32,124.522272222,102.985873333,21.5363988889,249.044544444,44.3457106279,44.3140830422,0.163525813425,88.6914212557,1436.501,1364.928,168.111,2873.002,0.892645074591,0.892666437297,-0.0240040455142,0.892645074591,7.0,7.0,0.0,7.0,808.793,808.407,1.04,1617.586,48,0,0.117777777778
2012-06-02 18:00:00,51.064,29.634,20.941,102.128,2711.91,2690.12,957.331,5423.822,1330.95660667,1189.42333556,141.533271111,2661.91321333,866.417758617,833.983874798,304.591495099,1732.83552274,15853.704,13025.488,3012.2,31707.492,0.988870978721,0.990505080978,0.992165952428,0.988870983152,26.0,25.0,6.0,35.0,2660.846,2660.486,936.39,5321.694,49,0,1.0
2012-06-02 18:15:00,104.643,82.157,21.618,209.286,3235.12,1675.92,1559.2,6470.24,1339.34126444,715.645861111,623.695513333,2678.68263889,1038.3853072,521.271532544,518.657037701,2076.77077029,110117.762,55308.886,54988.627,220235.505,0.938612083119,0.937068527727,0.936408419353,0.938612085188,141.0,129.0,128.0,155.0,3130.477,1593.763,1537.582,6260.954,50,0,1.0
2012-06-02 18:30:00,195.778,68.718,22.041,391.556,2553.16,1626.01,1154.61,5106.311,649.975636667,364.089567778,285.88596,1299.95116444,663.255933261,386.637903831,309.766842091,1326.51162102,47941.786,25172.751,23291.38,95883.569,0.933104524141,0.943372306718,0.924061635603,0.933104559806,97.0,59.0,83.0,119.0,2357.382,1557.292,1132.569,4714.755,51,0,1.0
2012-06-02 18:45:00,221.08,15.719,157.097,442.16,290.749,69.302,222.267,581.498,270.296444444,55.2231733333,215.073271111,540.592888889,25.1072104458,22.5430594487,15.3579582368,50.2144208916,1762.794,208.52,1675.886,3525.588,0.96605844545,0.998439146398,0.912960046456,0.96605844545,24.0,2.0,22.0,46.0,69.669,53.583,65.17,139.338,52,0,1.0
2012-06-02 19:00:00,221.444,15.349,205.789,442.888,887.878,668.603,220.677,1775.756,254.223745556,34.9578488889,219.265896667,508.447491111,40.1565060289,40.0585410768,1.50659454271,80.3130120577,1669.815,1387.337,385.034,3339.63,0.77305231678,0.772186412925,0.834125373523,0.77305231678,3.0,3.0,0.0,3.0,666.434,653.254,14.888,1332.868,53,0,1.0
2012-06-02 19:15:00,226.79,67.181,158.01,453.58,919.006,698.96,220.63,1838.012,343.137912222,124.897181111,218.240731111,686.275824444,44.7142787532,44.5726664402,4.64771370265,89.4285575063,2089.846,1357.511,846.007,4179.692,0.846872079422,0.847958964277,0.819196332359,0.846872079422,6.0,3.0,3.0,13.0,692.216,631.779,62.62,1384.432,54,0,1.0
2012-06-02 19:30:00,240.17,81.662,157.897,480.34,902.447,700.714,220.818,1804.894,303.965248889,88.23888,215.726368889,607.930497778,24.2853499856,24.459257897,8.0775162978,48.5706999713,1958.689,1376.899,694.834,3917.378,0.42903668727,0.43981632572,0.960308199498,0.42903668727,6.0,4.0,2.0,16.0,662.277,619.052,62.921,1324.554,55,0,1.0
2012-06-02 19:45:00,226.894,67.204,159.403,453.788,348.239,143.189,208.405,696.478,300.26847,94.3028211111,205.965648889,600.53694,32.798416815,33.2051378923,4.09435636063,65.5968336301,894.994,223.558,782.142,1789.988,0.996386718157,0.998871575755,0.840789030415,0.996386718157,3.0,2.0,1.0,15.0,121.345,75.985,49.002,242.69,56,0,1.0
2012-06-02 20:00:00,210.371,15.414,179.554,420.742,400.89,203.406,198.567,801.78,232.637168889,35.4262988889,197.21087,465.274337778,26.0446806467,26.2788833042,0.993162324874,52.0893612934,714.949,506.088,305.153,1429.898,0.957692905853,0.958827271557,0.692344966403,0.957692905853,3.0,3.0,0.0,4.0,190.519,187.992,19.013,381.038,57,0,1.0
2012-06-02 20:15:00,223.539,31.338,156.956,447.078,629.095,431.469,198.567,1258.19,253.222014444,65.4991966667,187.722817778,506.444028889,31.3521431776,28.4205283678,15.3277961096,62.7042863552,1635.705,1006.462,749.885,3271.41,0.855439621443,0.829864293094,0.98826087928,0.855439621443,8.0,5.0,3.0,16.0,405.556,400.131,41.611,811.112,58,0,1.0
2012-06-02 20:30:00,175.001,15.52,154.518,350.002,1010.27,813.673,198.717,2020.542,256.683757778,68.1384133333,188.545346667,513.367517778,37.3916013555,34.4150493981,13.3421071045,74.7832475472,4624.316,1765.485,2991.743,9248.636,0.563321285785,0.509605914875,0.836689113394,0.563320663591,53.0,5.0,47.0,98.0,835.269,798.153,44.199,1670.54,59,0,1.0
2012-06-02 20:45:00,173.475,15.437,157.643,346.95,750.806,565.04,198.2,1501.612,269.977486667,80.6151633333,189.362323333,539.954973333,33.5598579074,31.5663150852,6.10317077577,67.1197158147,2015.31,1251.567,879.181,4030.62,0.81278151743,0.792092151488,0.899045022622,0.81278151743,7.0,4.0,3.0,22.0,577.331,549.603,40.557,1154.662,60,0,1.0
2012-06-02 21:00:00,225.629,67.232,157.474,451.258,259.195,72.82,186.962,518.39,253.518572222,68.7762233333,184.742348889,507.037144444,4.19667944884,1.40639905132,3.73692270216,8.39335889768,786.521,149.99,749.849,1573.042,0.847790340791,0.989217311959,0.80866726998,0.847790340791,2.0,0.0,2.0,13.0,33.566,5.588,29.488,67.132,61,0,1.0
2012-06-02 21:15:00,192.076,15.377,157.285,384.152,253.222,67.936,186.82,506.444,224.857553333,42.6241977778,182.233355556,449.715106667,23.5758385303,25.7034664116,6.42348674148,47.1516770606,1296.856,197.195,1221.107,2593.712,0.988795011364,0.998466608391,0.87313165559,0.988795011364,5.0,1.0,4.0,26.0,61.146,52.559,29.535,122.292,62,0,1.0
2012-06-02 21:30:00,200.682,15.358,158.537,401.364,939.909,753.907,187.234,1879.818,302.595177778,116.950353333,185.644824444,605.190355556,56.1250376227,56.1158817611,1.53018934765,112.250075245,2934.979,2712.706,332.111,5869.958,0.76640236503,0.766754458707,0.706921079859,0.76640236503,7.0,6.0,1.0,10.0,739.227,738.549,28.697,1478.454,63,0,1.0
2012-06-02 21:45:00,195.522,15.442,175.695,391.044,324.142,138.06,186.886,648.284,240.978898889,55.2602788889,185.71862,481.957797778,27.5658323878,27.5406280736,0.70187878969,55.1316647756,488.813,261.184,318.145,977.626,0.996499282265,0.996849342951,0.470563147837,0.996499282265,3.0,3.0,0.0,4.0,128.62,122.618,11.191,257.24,64,0,1.0
2012-06-03 06:00:00,36.962,15.492,21.162,73.924,726.14,704.315,22.088,1452.28,63.6330733333,42.0087466667,21.6243266667,127.266146667,43.0398489101,43.0267814473,0.153957782665,86.0796978201,1604.174,1528.612,157.312,3208.348,0.76935955034,0.769436985252,-0.0152176904767,0.76935955034,5.0,5.0,0.0,5.0,689.178,688.823,0.926,1378.356,1,0,1.0
2012-06-03 06:15:00,36.938,15.631,21.039,73.876,91.172,69.394,22.427,182.344,85.21256,63.6617922222,21.5507677778,170.42512,14.1144280717,14.1008905938,0.172206818984,28.2288561434,275.816,198.497,163.811,551.632,0.994045129406,0.994227912047,0.10581553992,0.994045129406,1.0,1.0,0.0,1.0,54.234,53.763,1.388,108.468,2,0,1.0
2012-06-03 06:30:00,36.94,15.53,21.025,73.88,3163.67,3009.63,344.852,6327.342,614.123087778,564.504123333,49.6189077778,1228.24611889,853.546365636,828.175951837,59.1230731074,1707.09261741,9462.055,8142.396,1536.431,18924.016,0.994962373034,0.994777460786,0.974640966678,0.994962376471,28.0,14.0,14.0,45.0,3126.73,2994.1,323.827,6253.462,3,0,1.0
2012-06-03 06:45:00,448.73,261.63,183.084,897.46,1629.39,1437.41,193.569,3258.788,580.26483,388.103801111,192.161007778,1160.52963889,295.482668166,295.406443581,1.14993191603,590.965284202,4202.323,3978.705,504.458,8404.664,0.989095940049,0.989101852024,0.249857213362,0.989095939497,7.0,7.0,0.0,32.0,1180.66,1175.78,10.485,2361.328,4,0,1.0
2012-06-03 07:00:00,395.555,206.672,178.594,791.11,1501.54,1309.18,193.908,3003.084,501.850904444,309.636867778,192.213986667,1003.70175889,285.677390793,285.840052969,1.15382776799,571.354617347,3994.54,3744.381,522.795,7989.042,0.988636622129,0.988676045436,0.242102122724,0.98863663153,5.0,5.0,0.0,26.0,1105.985,1102.508,15.314,2211.974,5,0,1.0
2012-06-03 07:15:00,399.591,206.625,191.31,799.182,1401.68,1197.54,205.466,2803.358,491.065287778,290.814232222,200.251048889,982.130568889,64.873309503,63.3027711972,5.07130215992,129.746534444,5619.431,5376.236,550.537,11238.852,0.721633023532,0.708010326143,0.949822020144,0.721633427484,8.0,7.0,0.0,28.0,1002.089,990.915,14.156,2004.176,6,0,1.0
2012-06-03 07:30:00,393.626,198.707,170.443,787.252,547.264,344.368,215.736,1094.528,470.283684444,265.876886667,204.406797778,940.567368889,50.5101903533,51.5439307018,3.30831341301,101.020380707,2177.075,1719.931,834.964,4354.15,0.996236802191,0.997458079508,0.769399831948,0.996236802191,5.0,3.0,1.0,22.0,153.638,145.661,45.293,307.276,7,0,1.0
2012-06-03 07:45:00,387.008,197.465,186.773,774.016,1300.09,1084.95,216.273,2600.174,458.477408889,244.115713333,214.361685556,916.954807778,42.7121199568,42.3519686944,2.07308516202,85.4240561552,3792.295,3250.557,830.084,7584.578,0.636267843922,0.632266851159,0.320946033347,0.636268608793,5.0,3.0,2.0,36.0,913.082,887.485,29.5,1826.158,8,0,1.0
2012-06-03 08:00:00,392.433,196.336,189.522,784.866,1321.26,1117.27,215.849,2642.518,452.599588889,239.134313333,213.465273333,905.199175556,47.2607223652,47.386062978,3.68119425004,94.5214038401,3572.381,3158.964,639.961,7144.758,0.74264403477,0.745301247795,0.788813678019,0.742644235519,12.0,10.0,2.0,37.0,928.827,920.934,26.327,1857.652,9,0,1.0
